DATE,REGION,PRODUCT,CAMPAIGN_NAME,CUSTOMER_ID,CHANNEL,RESPONSE_STATUS,REVENUE,SPEND,QUALIFIED,APPROVED,ISSUED,CREDIT_SCORE,PROPENSITY_CARD_SCORE
2025-07-23,West,Stocks,Stocks awareness campaign,CUST_120251,Search,no_response,0.0,303.61,0,0,0,746,0.461
2025-08-22,Northeast,Credit Card,Prepaid card awareness campaign,CUST_747475,Mobile App,no_response,0.0,123.3,0,0,0,729,0.159
2025-06-09,Northeast,Auto Loan,Automobile loan awareness campaign,CUST_562387,CRM,no_response,0.0,75.76,0,0,0,557,0.217
2025-08-20,West,Stocks,Stocks awareness campaign,CUST_781030,Branch,converted,1807.48,67.84,1,1,1,701,0.194
2025-08-17,Northeast,Stocks,Stocks awareness campaign,CUST_635351,Affiliates,no_response,0.0,207.52,0,0,0,746,0.464
2025-06-28,Northeast,Stocks,Stocks awareness campaign,CUST_416588,Search,engaged,0.0,256.91,1,1,0,818,0.379
2025-07-30,South,Credit Card,Credit card awareness campaign,CUST_656860,CRM,no_response,0.0,53.21,0,0,0,821,0.882
2025-06-18,South,Stocks,Stocks awareness campaign,CUST_889968,CRM,no_response,0.0,76.38,0,0,0,638,0.202
2025-08-11,West,Personal Loan,Objective loan awareness campaign,CUST_127387,Affiliates,no_response,0.0,145.85,0,0,0,699,0.369
2025-08-06,South,Credit Card,Credit card awareness campaign,CUST_932791,Social,no_response,0.0,191.12,0,0,0,626,0.341
2025-07-05,South,Personal Loan,Objective loan awareness campaign,CUST_997336,Social,engaged,0.0,144.39,1,0,0,811,0.796
2025-06-10,Northeast,Auto Loan,Automobile loan awareness campaign,CUST_545165,CRM,no_response,0.0,65.24,0,0,0,781,0.59
2025-08-30,Midwest,Credit Card,Credit card awareness campaign,CUST_808168,Affiliates,engaged,0.0,159.21,1,1,0,741,0.797
2025-07-14,Midwest,Personal Loan,Objective loan awareness campaign,CUST_565959,Mobile App,no_response,0.0,141.75,0,0,0,730,0.306
2025-08-23,Northeast,Stocks,Stocks awareness campaign,CUST_378357,Search,engaged,0.0,160.89,1,0,0,803,0.406
2025-08-04,South,Credit Card,Credit card awareness campaign,CUST_656870,Social,engaged,0.0,169.9,1,1,0,793,0.907
2025-08-13,Midwest,Personal Loan,Objective loan awareness campaign,CUST_476249,Social,no_response,0.0,161.77,0,0,0,789,0.811
2025-08-11,Midwest,Credit Card,Prepaid card awareness campaign,CUST_159146,CRM,converted,1570.71,51.9,1,0,1,747,0.819
2025-06-21,Northeast,Credit Card,Credit card awareness campaign,CUST_346242,CRM,no_response,0.0,59.17,0,0,0,699,1.0
2025-07-06,Northeast,Credit Card,Credit card awareness campaign,CUST_336637,WhatsApp,no_response,0.0,93.02,0,0,0,766,0.856
2025-07-16,South,Credit Card,Credit card awareness campaign,CUST_389167,Mobile App,converted,1233.61,118.43,1,0,1,769,0.408
2025-07-18,Northeast,Personal Loan,Objective loan awareness campaign,CUST_217894,Social,no_response,0.0,154.85,0,0,0,709,0.301
2025-06-07,Northeast,Stocks,Stocks awareness campaign,CUST_978261,WhatsApp,no_response,0.0,67.38,0,0,0,699,0.193
2025-07-23,Midwest,Bonds,Bonds awareness campaign,CUST_825850,Search,no_response,0.0,349.02,0,0,0,788,0.375
2025-06-17,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_219486,Social,no_response,0.0,202.36,0,0,0,820,0.364
2025-08-09,West,Personal Loan,Personal loan awareness campaign,CUST_813990,CRM,no_response,0.0,64.1,0,0,0,675,0.266
2025-08-04,Midwest,Bonds,Bonds awareness campaign,CUST_257510,Search,engaged,0.0,284.47,1,0,0,704,0.435
2025-08-26,Northeast,Bonds,Bonds awareness campaign,CUST_606642,WhatsApp,no_response,0.0,45.47,0,0,0,741,0.449
2025-08-10,Northeast,Personal Loan,Personal loan awareness campaign,CUST_790893,WhatsApp,no_response,0.0,32.45,0,0,0,749,0.378
2025-07-06,South,Bonds,Bonds awareness campaign,CUST_473409,Branch,no_response,0.0,63.01,0,0,0,689,0.242
2025-08-30,West,Bonds,Bonds awareness campaign,CUST_138724,CRM,no_response,0.0,39.32,0,0,0,833,0.589
2025-07-10,West,Stocks,Stocks awareness campaign,CUST_313706,CRM,no_response,0.0,56.45,0,0,0,745,0.085
2025-07-03,West,Auto Loan,Automobile loan awareness campaign,CUST_992713,Affiliates,no_response,0.0,189.25,0,0,0,752,0.854
2025-08-24,South,Credit Card,Prepaid card awareness campaign,CUST_997450,Search,no_response,0.0,270.62,0,0,0,826,0.651
2025-07-07,Northeast,Credit Card,Prepaid card awareness campaign,CUST_990404,Search,no_response,0.0,157.4,0,0,0,693,0.474
2025-06-10,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_519411,WhatsApp,no_response,0.0,98.99,0,0,0,715,0.199
2025-07-16,West,Auto Loan,Automobile loan awareness campaign,CUST_607825,Mobile App,no_response,0.0,140.5,0,0,0,645,0.239
2025-08-14,Midwest,Credit Card,Credit card awareness campaign,CUST_496688,Search,engaged,0.0,239.11,1,0,0,710,0.594
2025-06-21,South,Personal Loan,Personal loan awareness campaign,CUST_189076,CRM,no_response,0.0,52.2,0,0,0,631,0.366
2025-07-15,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_434783,Branch,no_response,0.0,94.2,0,0,0,765,0.404
2025-06-15,South,Stocks,Stocks awareness campaign,CUST_845968,Branch,engaged,0.0,68.19,1,1,0,745,0.117
2025-08-04,South,Credit Card,Prepaid card awareness campaign,CUST_691248,CRM,no_response,0.0,86.61,0,0,0,703,0.816
2025-07-16,West,Personal Loan,Objective loan awareness campaign,CUST_572860,WhatsApp,no_response,0.0,72.22,0,0,0,714,0.68
2025-07-03,South,Stocks,Stocks awareness campaign,CUST_187135,WhatsApp,engaged,0.0,106.71,1,1,0,766,0.569
2025-06-24,West,Stocks,Stocks awareness campaign,CUST_659738,Mobile App,no_response,0.0,137.91,0,0,0,652,0.685
2025-07-24,South,Bonds,Bonds awareness campaign,CUST_356095,Search,no_response,0.0,201.97,0,0,0,732,0.202
2025-08-03,Midwest,Bonds,Bonds awareness campaign,CUST_789947,Mobile App,no_response,0.0,162.13,0,0,0,762,0.118
2025-08-27,Midwest,Bonds,Bonds awareness campaign,CUST_811943,Search,engaged,0.0,203.55,1,1,0,613,0.667
2025-07-13,West,Credit Card,Credit card awareness campaign,CUST_334563,Mobile App,engaged,0.0,46.83,1,0,0,761,0.911
2025-06-18,Northeast,Credit Card,Credit card awareness campaign,CUST_856486,Search,engaged,0.0,51.54,1,1,0,620,0.589
2025-08-17,Midwest,Personal Loan,Objective loan awareness campaign,CUST_097506,Social,engaged,0.0,210.9,1,1,0,713,0.61
2025-07-30,South,Personal Loan,Personal loan awareness campaign,CUST_582651,Search,no_response,0.0,287.66,0,0,0,650,0.326
2025-08-06,West,Bonds,Bonds awareness campaign,CUST_876725,Affiliates,engaged,0.0,264.93,1,1,0,806,0.096
2025-06-12,Northeast,Credit Card,Credit card awareness campaign,CUST_595166,Social,no_response,0.0,159.3,0,0,0,651,0.379
2025-07-02,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_783649,Search,no_response,0.0,148.91,0,0,0,621,0.282
2025-08-12,Northeast,Credit Card,Credit card awareness campaign,CUST_623910,Affiliates,engaged,0.0,161.12,1,0,0,728,0.684
2025-08-17,Northeast,Personal Loan,Objective loan awareness campaign,CUST_962266,Affiliates,engaged,0.0,180.51,1,0,0,695,0.476
2025-07-13,South,Personal Loan,Objective loan awareness campaign,CUST_359655,Branch,no_response,0.0,52.38,0,0,0,630,0.178
2025-08-15,Midwest,Credit Card,Prepaid card awareness campaign,CUST_340264,Mobile App,engaged,0.0,197.7,1,1,0,752,0.969
2025-08-18,Midwest,Bonds,Bonds awareness campaign,CUST_051718,WhatsApp,no_response,0.0,140.39,0,0,0,601,0.35
2025-07-08,West,Credit Card,Credit card awareness campaign,CUST_571259,Search,no_response,0.0,246.31,0,0,0,658,0.519
2025-08-23,Northeast,Stocks,Stocks awareness campaign,CUST_046067,Social,engaged,0.0,159.57,1,0,0,685,0.228
2025-06-29,Midwest,Personal Loan,Personal loan awareness campaign,CUST_235532,Mobile App,engaged,0.0,94.68,1,0,0,768,0.106
2025-06-25,West,Personal Loan,Objective loan awareness campaign,CUST_797836,Search,no_response,0.0,305.05,0,0,0,798,0.621
2025-08-04,West,Personal Loan,Objective loan awareness campaign,CUST_826256,Affiliates,engaged,0.0,183.43,1,1,0,786,0.145
2025-07-31,South,Stocks,Stocks awareness campaign,CUST_630388,Mobile App,no_response,0.0,129.88,0,0,0,711,0.339
2025-06-16,West,Personal Loan,Objective loan awareness campaign,CUST_475530,Mobile App,engaged,0.0,156.84,1,1,0,574,0.598
2025-08-17,Midwest,Bonds,Bonds awareness campaign,CUST_763049,Affiliates,engaged,0.0,153.64,1,0,0,743,0.095
2025-06-21,South,Personal Loan,Objective loan awareness campaign,CUST_164448,WhatsApp,no_response,0.0,93.3,0,0,0,808,0.33
2025-08-15,South,Personal Loan,Personal loan awareness campaign,CUST_433154,Affiliates,no_response,0.0,115.09,0,0,0,794,0.377
2025-06-04,West,Stocks,Stocks awareness campaign,CUST_403461,Branch,no_response,0.0,89.02,0,0,0,748,0.318
2025-08-14,South,Personal Loan,Objective loan awareness campaign,CUST_034698,Search,engaged,0.0,214.26,1,1,0,649,0.558
2025-08-13,South,Personal Loan,Objective loan awareness campaign,CUST_119790,Search,engaged,0.0,283.73,1,0,0,688,0.233
2025-08-13,South,Bonds,Bonds awareness campaign,CUST_071076,WhatsApp,engaged,0.0,85.47,1,0,0,836,0.329
2025-08-02,Northeast,Personal Loan,Objective loan awareness campaign,CUST_940581,Social,engaged,0.0,154.55,1,1,0,635,0.633
2025-07-16,West,Credit Card,Credit card awareness campaign,CUST_769793,WhatsApp,no_response,0.0,62.72,0,0,0,651,0.714
2025-08-06,Midwest,Credit Card,Credit card awareness campaign,CUST_622354,Social,no_response,0.0,190.39,0,0,0,777,0.575
2025-06-28,West,Personal Loan,Objective loan awareness campaign,CUST_815378,Mobile App,engaged,0.0,109.35,1,1,0,694,0.492
2025-08-13,West,Stocks,Stocks awareness campaign,CUST_404856,Branch,engaged,0.0,61.49,1,0,0,649,0.143
2025-07-24,South,Stocks,Stocks awareness campaign,CUST_068326,CRM,no_response,0.0,60.02,0,0,0,812,0.39
2025-07-15,South,Credit Card,Credit card awareness campaign,CUST_162749,Branch,engaged,0.0,72.12,1,1,0,748,0.556
2025-07-19,Midwest,Stocks,Stocks awareness campaign,CUST_819136,Social,no_response,0.0,91.76,0,0,0,697,0.907
2025-07-25,West,Personal Loan,Objective loan awareness campaign,CUST_625020,CRM,engaged,0.0,56.54,1,1,0,651,0.116
2025-06-07,West,Credit Card,Prepaid card awareness campaign,CUST_280401,Social,engaged,0.0,191.81,1,0,0,843,0.827
2025-06-16,Midwest,Personal Loan,Personal loan awareness campaign,CUST_440473,Mobile App,no_response,0.0,126.76,0,0,0,719,0.527
2025-06-26,Northeast,Bonds,Bonds awareness campaign,CUST_593660,Branch,engaged,0.0,66.07,1,1,0,804,0.076
2025-06-14,Northeast,Credit Card,Prepaid card awareness campaign,CUST_034698,Mobile App,no_response,0.0,145.68,0,0,0,774,0.633
2025-07-13,South,Personal Loan,Objective loan awareness campaign,CUST_456229,Mobile App,no_response,0.0,135.59,0,0,0,689,0.677
2025-08-03,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_431067,Mobile App,no_response,0.0,103.93,0,0,0,689,0.42
2025-08-01,South,Stocks,Stocks awareness campaign,CUST_197070,Social,no_response,0.0,158.55,0,0,0,807,0.684
2025-07-16,Midwest,Credit Card,Prepaid card awareness campaign,CUST_809591,Mobile App,engaged,0.0,174.79,1,1,0,808,0.773
2025-08-19,South,Credit Card,Credit card awareness campaign,CUST_753366,CRM,no_response,0.0,44.23,0,0,0,607,0.542
2025-07-24,Midwest,Stocks,Stocks awareness campaign,CUST_257486,Affiliates,no_response,0.0,163.15,0,0,0,753,0.039
2025-06-11,South,Credit Card,Credit card awareness campaign,CUST_416333,CRM,engaged,0.0,39.28,1,1,0,713,0.758
2025-08-11,Northeast,Personal Loan,Objective loan awareness campaign,CUST_991102,Social,no_response,0.0,197.66,0,0,0,658,0.5
2025-07-25,West,Personal Loan,Objective loan awareness campaign,CUST_606637,Social,no_response,0.0,156.31,0,0,0,736,0.782
2025-07-31,South,Credit Card,Credit card awareness campaign,CUST_564456,Social,no_response,0.0,125.99,0,0,0,639,0.87
2025-07-24,South,Auto Loan,Automobile loan awareness campaign,CUST_037087,Search,engaged,0.0,225.07,1,1,0,692,0.28
2025-07-23,South,Bonds,Bonds awareness campaign,CUST_323870,CRM,no_response,0.0,41.95,0,0,0,672,0.565
2025-06-12,Northeast,Personal Loan,Personal loan awareness campaign,CUST_015602,Mobile App,converted,6243.58,103.83,1,1,1,690,0.391
2025-07-24,Midwest,Personal Loan,Personal loan awareness campaign,CUST_085083,WhatsApp,engaged,0.0,57.15,1,1,0,716,0.278
2025-08-14,Northeast,Bonds,Bonds awareness campaign,CUST_659981,CRM,no_response,0.0,44.0,0,0,0,659,0.41
2025-07-01,Northeast,Credit Card,Credit card awareness campaign,CUST_175712,Affiliates,no_response,0.0,241.08,0,0,0,814,0.606
2025-07-28,West,Credit Card,Credit card awareness campaign,CUST_556045,CRM,no_response,0.0,49.0,0,0,0,750,0.373
2025-06-06,West,Bonds,Bonds awareness campaign,CUST_037937,Social,engaged,0.0,178.65,1,0,0,828,0.528
2025-07-05,South,Personal Loan,Objective loan awareness campaign,CUST_847718,Branch,no_response,0.0,55.36,0,0,0,710,0.439
2025-07-13,South,Stocks,Stocks awareness campaign,CUST_791249,Social,no_response,0.0,190.38,0,0,0,687,0.726
2025-08-31,West,Stocks,Stocks awareness campaign,CUST_928054,Branch,converted,1501.66,52.04,1,1,1,826,0.397
2025-06-23,South,Credit Card,Prepaid card awareness campaign,CUST_526202,Branch,no_response,0.0,70.69,0,0,0,685,0.422
2025-06-28,Northeast,Auto Loan,Automobile loan awareness campaign,CUST_260659,CRM,no_response,0.0,60.79,0,0,0,709,0.503
2025-07-10,Northeast,Personal Loan,Objective loan awareness campaign,CUST_079890,Mobile App,engaged,0.0,221.47,1,1,0,763,0.497
2025-09-01,West,Personal Loan,Objective loan awareness campaign,CUST_682620,Social,converted,7171.02,185.22,1,0,1,646,0.275
2025-08-19,South,Auto Loan,Automobile loan awareness campaign,CUST_910851,Mobile App,no_response,0.0,119.25,0,0,0,763,0.392
2025-06-07,Northeast,Credit Card,Credit card awareness campaign,CUST_956624,Branch,no_response,0.0,81.99,0,0,0,755,0.274
2025-06-25,West,Stocks,Stocks awareness campaign,CUST_616267,Branch,engaged,0.0,107.42,1,1,0,796,0.319
2025-08-16,West,Bonds,Bonds awareness campaign,CUST_470450,WhatsApp,no_response,0.0,53.33,0,0,0,773,0.264
2025-06-09,Northeast,Stocks,Stocks awareness campaign,CUST_294793,Mobile App,engaged,0.0,110.51,1,0,0,798,0.327
2025-08-20,Midwest,Personal Loan,Objective loan awareness campaign,CUST_297405,Mobile App,no_response,0.0,131.71,0,0,0,713,0.513
2025-06-29,South,Personal Loan,Objective loan awareness campaign,CUST_625577,Affiliates,no_response,0.0,161.23,0,0,0,668,0.766
2025-08-25,West,Personal Loan,Objective loan awareness campaign,CUST_042429,Branch,no_response,0.0,64.18,0,0,0,847,0.14
2025-06-30,Northeast,Credit Card,Prepaid card awareness campaign,CUST_075354,Branch,no_response,0.0,47.18,0,0,0,628,1.0
2025-07-13,South,Bonds,Bonds awareness campaign,CUST_725080,Affiliates,engaged,0.0,243.18,1,0,0,634,0.411
2025-08-02,Midwest,Credit Card,Credit card awareness campaign,CUST_880671,Mobile App,no_response,0.0,90.21,0,0,0,754,0.372
2025-06-15,South,Personal Loan,Objective loan awareness campaign,CUST_798501,Affiliates,no_response,0.0,170.99,0,0,0,817,0.692
2025-07-24,Midwest,Stocks,Stocks awareness campaign,CUST_534534,CRM,engaged,0.0,75.69,1,0,0,731,0.67
2025-07-19,West,Credit Card,Credit card awareness campaign,CUST_198736,Search,no_response,0.0,218.34,0,0,0,780,0.984
2025-08-13,Midwest,Credit Card,Prepaid card awareness campaign,CUST_922743,Social,converted,1596.58,120.82,1,1,1,600,0.896
2025-09-01,Midwest,Personal Loan,Objective loan awareness campaign,CUST_333649,Mobile App,no_response,0.0,92.8,0,0,0,690,0.098
2025-08-02,South,Personal Loan,Personal loan awareness campaign,CUST_553043,Affiliates,no_response,0.0,169.65,0,0,0,608,0.46
2025-07-10,Northeast,Stocks,Stocks awareness campaign,CUST_412083,Affiliates,no_response,0.0,145.93,0,0,0,767,0.414
2025-07-10,Northeast,Personal Loan,Objective loan awareness campaign,CUST_496203,Social,no_response,0.0,168.21,0,0,0,627,0.677
2025-07-11,Midwest,Bonds,Bonds awareness campaign,CUST_615326,CRM,no_response,0.0,38.98,0,0,0,643,0.395
2025-08-16,West,Bonds,Bonds awareness campaign,CUST_823338,Branch,no_response,0.0,84.23,0,0,0,751,0.458
2025-07-02,South,Stocks,Stocks awareness campaign,CUST_428010,Mobile App,engaged,0.0,144.04,1,0,0,784,0.209
2025-06-19,South,Personal Loan,Objective loan awareness campaign,CUST_869336,Search,no_response,0.0,230.44,0,0,0,710,0.673
2025-07-04,Midwest,Credit Card,Prepaid card awareness campaign,CUST_794470,CRM,no_response,0.0,81.62,0,0,0,754,0.207
2025-06-06,Midwest,Bonds,Bonds awareness campaign,CUST_252990,CRM,no_response,0.0,53.43,0,0,0,752,0.33
2025-06-13,Northeast,Credit Card,Credit card awareness campaign,CUST_704632,WhatsApp,engaged,0.0,73.67,1,1,0,707,0.393
2025-06-12,West,Personal Loan,Personal loan awareness campaign,CUST_410700,Affiliates,no_response,0.0,155.35,0,0,0,654,0.42
2025-08-12,South,Stocks,Stocks awareness campaign,CUST_150860,Affiliates,no_response,0.0,171.34,0,0,0,754,0.138
2025-08-08,West,Credit Card,Prepaid card awareness campaign,CUST_911556,CRM,no_response,0.0,58.64,0,0,0,757,0.385
2025-08-05,West,Stocks,Stocks awareness campaign,CUST_428194,CRM,no_response,0.0,47.54,0,0,0,774,0.264
2025-07-15,Midwest,Bonds,Bonds awareness campaign,CUST_922316,CRM,no_response,0.0,29.65,0,0,0,739,0.513
2025-08-07,South,Stocks,Stocks awareness campaign,CUST_346940,CRM,no_response,0.0,51.59,0,0,0,650,0.471
2025-06-18,Midwest,Credit Card,Credit card awareness campaign,CUST_233194,Branch,no_response,0.0,76.3,0,0,0,761,0.689
2025-08-24,Northeast,Bonds,Bonds awareness campaign,CUST_270913,Branch,no_response,0.0,72.38,0,0,0,720,0.329
2025-07-19,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_713041,Social,no_response,0.0,207.98,0,0,0,691,0.662
2025-08-27,Northeast,Stocks,Stocks awareness campaign,CUST_963054,Branch,engaged,0.0,104.22,1,0,0,702,0.327
2025-06-17,Northeast,Stocks,Stocks awareness campaign,CUST_682319,Mobile App,no_response,0.0,166.58,0,0,0,679,0.648
2025-07-18,Northeast,Stocks,Stocks awareness campaign,CUST_180002,Search,no_response,0.0,296.04,0,0,0,773,0.252
2025-08-05,Midwest,Credit Card,Credit card awareness campaign,CUST_202647,CRM,no_response,0.0,71.5,0,0,0,635,0.691
2025-07-18,West,Credit Card,Prepaid card awareness campaign,CUST_552780,Social,engaged,0.0,228.4,1,1,0,660,0.461
2025-07-14,Midwest,Personal Loan,Objective loan awareness campaign,CUST_352216,Branch,no_response,0.0,102.39,0,0,0,700,0.657
2025-06-18,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_249074,Social,no_response,0.0,198.05,0,0,0,817,0.54
2025-07-08,South,Auto Loan,Automobile loan awareness campaign,CUST_879530,WhatsApp,engaged,0.0,105.89,1,1,0,783,0.633
2025-06-25,South,Personal Loan,Personal loan awareness campaign,CUST_706731,Social,engaged,0.0,151.79,1,1,0,622,0.199
2025-07-01,West,Credit Card,Credit card awareness campaign,CUST_172734,CRM,converted,930.08,59.38,1,1,1,801,0.545
2025-08-04,Midwest,Stocks,Stocks awareness campaign,CUST_876725,Mobile App,engaged,0.0,128.18,1,0,0,801,0.228
2025-07-30,South,Bonds,Bonds awareness campaign,CUST_843397,Affiliates,no_response,0.0,207.96,0,0,0,650,0.112
2025-07-28,Northeast,Personal Loan,Objective loan awareness campaign,CUST_506781,Mobile App,no_response,0.0,114.79,0,0,0,569,0.161
2025-07-06,Midwest,Stocks,Stocks awareness campaign,CUST_376641,Mobile App,no_response,0.0,133.31,0,0,0,716,0.386
2025-08-29,South,Personal Loan,Personal loan awareness campaign,CUST_866387,Mobile App,engaged,0.0,57.57,1,1,0,787,0.271
2025-06-11,West,Auto Loan,Automobile loan awareness campaign,CUST_758710,Search,no_response,0.0,314.77,0,0,0,815,0.352
2025-07-04,West,Personal Loan,Objective loan awareness campaign,CUST_233381,Branch,engaged,0.0,66.14,1,1,0,668,0.269
2025-06-14,West,Stocks,Stocks awareness campaign,CUST_167480,Search,no_response,0.0,245.06,0,0,0,825,0.27
2025-07-04,West,Bonds,Bonds awareness campaign,CUST_281487,Affiliates,no_response,0.0,245.6,0,0,0,586,0.446
2025-08-29,Midwest,Stocks,Stocks awareness campaign,CUST_641206,Mobile App,engaged,0.0,150.51,1,1,0,698,0.229
2025-07-06,Northeast,Bonds,Bonds awareness campaign,CUST_732910,WhatsApp,converted,1482.72,122.5,1,1,1,695,0.318
2025-08-24,Midwest,Bonds,Bonds awareness campaign,CUST_068923,CRM,no_response,0.0,41.37,0,0,0,789,0.131
2025-07-18,Northeast,Credit Card,Credit card awareness campaign,CUST_193800,Affiliates,no_response,0.0,287.88,0,0,0,798,0.381
2025-08-05,South,Personal Loan,Personal loan awareness campaign,CUST_878651,Branch,no_response,0.0,89.02,0,0,0,777,0.511
2025-07-15,Midwest,Auto Loan,Automobile loan awareness campaign,CUST_631442,WhatsApp,engaged,0.0,94.71,1,1,0,639,0.701
2025-06-27,West,Bonds,Bonds awareness campaign,CUST_025757,CRM,no_response,0.0,81.38,0,0,0,772,0.553
2025-08-11,South,Credit Card,Prepaid card awareness campaign,CUST_188508,Mobile App,no_response,0.0,99.1,0,0,0,751,0.894
2025-08-30,South,Credit Card,Credit card awareness campaign,CUST_329896,Social,no_response,0.0,148.46,0,0,0,620,0.36
2025-06-27,Midwest,Bonds,Bonds awareness campaign,CUST_353749,Search,engaged,0.0,299.43,1,1,0,596,0.283
2025-08-13,Midwest,Credit Card,Credit card awareness campaign,CUST_805161,WhatsApp,no_response,0.0,47.99,0,0,0,782,0.431
2025-06-27,South,Stocks,Stocks awareness campaign,CUST_560002,Mobile App,no_response,0.0,159.62,0,0,0,709,0.269
2025-08-07,West,Credit Card,Credit card awareness campaign,CUST_752099,Social,no_response,0.0,181.29,0,0,0,643,0.261
2025-08-14,South,Bonds,Bonds awareness campaign,CUST_862486,Social,no_response,0.0,238.77,0,0,0,708,0.227
2025-07-14,South,Bonds,Bonds awareness campaign,CUST_244308,Search,no_response,0.0,132.94,0,0,0,742,0.321
2025-08-09,South,Credit Card,Credit card awareness campaign,CUST_243099,Mobile App,no_response,0.0,196.34,0,0,0,715,0.684
2025-06-28,Northeast,Stocks,Stocks awareness campaign,CUST_892888,Social,engaged,0.0,137.62,1,1,0,627,0.488
